
0.00529608624     SN.node[323].Communication.MAC           EVENT:POS | Node:323 | x:5000 | y:5000 | Type:Vehicle
0.005810829519    SN.node[163].Communication.MAC           EVENT:POS | Node:163 | x:5000 | y:5000 | Type:Vehicle
0.006030868378    SN.node[231].Communication.MAC           EVENT:POS | Node:231 | x:5000 | y:5000 | Type:Vehicle
0.006066428963    SN.node[5].Application                   EVENT:APP_START | Node:5 | Status:SENDER_READY
0.006066428963    SN.node[5].Communication.MAC             EVENT:POS | Node:5 | x:5000 | y:5000 | Type:Vehicle
0.006231087504    SN.node[429].Communication.MAC           EVENT:POS | Node:429 | x:5000 | y:5000 | Type:Vehicle
0.006279265799    SN.node[12].Communication.MAC            EVENT:POS | Node:12 | x:5000 | y:5000 | Type:Vehicle
0.006291051988    SN.node[407].Communication.MAC           EVENT:POS | Node:407 | x:5000 | y:5000 | Type:Vehicle
0.006464693159    SN.node[160].Communication.MAC           EVENT:POS | Node:160 | x:5000 | y:5000 | Type:Vehicle
0.0064829192      SN.node[259].Communication.MAC           EVENT:POS | Node:259 | x:5000 | y:5000 | Type:Vehicle
0.006710908433    SN.node[462].Communication.MAC           EVENT:POS | Node:462 | x:5000 | y:5000 | Type:Vehicle
0.006958825665    SN.node[371].Communication.MAC           EVENT:POS | Node:371 | x:5000 | y:5000 | Type:Vehicle
0.006973356346    SN.node[298].Communication.MAC           EVENT:POS | Node:298 | x:5000 | y:5000 | Type:Vehicle
0.007129967317    SN.node[131].Communication.MAC           EVENT:POS | Node:131 | x:5000 | y:5000 | Type:Vehicle
0.007135866477    SN.node[61].Communication.MAC            EVENT:POS | Node:61 | x:5000 | y:5000 | Type:Vehicle
0.007166615722    SN.node[234].Communication.MAC           EVENT:POS | Node:234 | x:5000 | y:5000 | Type:Vehicle
0.007264497922    SN.node[476].Communication.MAC           EVENT:POS | Node:476 | x:5000 | y:5000 | Type:Vehicle
0.007268507371    SN.node[21].Communication.MAC            EVENT:POS | Node:21 | x:5000 | y:5000 | Type:Vehicle
0.007315811119    SN.node[249].Communication.MAC           EVENT:POS | Node:249 | x:5000 | y:5000 | Type:Vehicle
0.007593049632    SN.node[156].Communication.MAC           EVENT:POS | Node:156 | x:5000 | y:5000 | Type:Vehicle
0.007654465117    SN.node[428].Communication.MAC           EVENT:POS | Node:428 | x:5000 | y:5000 | Type:Vehicle
0.007687010325    SN.node[306].Communication.MAC           EVENT:POS | Node:306 | x:5000 | y:5000 | Type:Vehicle
0.007813121343    SN.node[382].Communication.MAC           EVENT:POS | Node:382 | x:5000 | y:5000 | Type:Vehicle
0.007843387033    SN.node[46].Communication.MAC            EVENT:POS | Node:46 | x:5000 | y:5000 | Type:Vehicle
0.00786223266     SN.node[422].Communication.MAC           EVENT:POS | Node:422 | x:5000 | y:5000 | Type:Vehicle
0.007883487769    SN.node[271].Communication.MAC           EVENT:POS | Node:271 | x:5000 | y:5000 | Type:Vehicle
0.007901683042    SN.node[286].Communication.MAC           EVENT:POS | Node:286 | x:5000 | y:5000 | Type:Vehicle
0.007982357917    SN.node[317].Communication.MAC           EVENT:POS | Node:317 | x:5000 | y:5000 | Type:Vehicle
0.008126034575    SN.node[442].Communication.MAC           EVENT:POS | Node:442 | x:5000 | y:5000 | Type:Vehicle
0.008501677017    SN.node[268].Communication.MAC           EVENT:POS | Node:268 | x:5000 | y:5000 | Type:Vehicle
0.00861814497     SN.node[215].Communication.MAC           EVENT:POS | Node:215 | x:5000 | y:5000 | Type:Vehicle
0.008803105761    SN.node[155].Communication.MAC           EVENT:POS | Node:155 | x:5000 | y:5000 | Type:Vehicle
0.008860669238    SN.node[226].Communication.MAC           EVENT:POS | Node:226 | x:5000 | y:5000 | Type:Vehicle
0.008926941698    SN.node[477].Communication.MAC           EVENT:POS | Node:477 | x:5000 | y:5000 | Type:Vehicle
0.009037016448    SN.node[455].Communication.MAC           EVENT:POS | Node:455 | x:5000 | y:5000 | Type:Vehicle
0.009188615798    SN.node[408].Communication.MAC           EVENT:POS | Node:408 | x:5000 | y:5000 | Type:Vehicle
0.009390741249    SN.node[164].Communication.MAC           EVENT:POS | Node:164 | x:5000 | y:5000 | Type:Vehicle
0.009412542404    SN.node[209].Communication.MAC           EVENT:POS | Node:209 | x:5000 | y:5000 | Type:Vehicle
0.009603614849    SN.node[200].Communication.MAC           EVENT:POS | Node:200 | x:5000 | y:5000 | Type:Vehicle
0.009819028887    SN.node[198].Communication.MAC           EVENT:POS | Node:198 | x:5000 | y:5000 | Type:Vehicle
0.00994880126     SN.node[154].Communication.MAC           EVENT:POS | Node:154 | x:5000 | y:5000 | Type:Vehicle
0.010068935714    SN.node[102].Communication.MAC           EVENT:POS | Node:102 | x:5000 | y:5000 | Type:Vehicle
0.010143882408    SN.node[203].Communication.MAC           EVENT:POS | Node:203 | x:5000 | y:5000 | Type:Vehicle
0.010167726443    SN.node[87].Communication.MAC            EVENT:POS | Node:87 | x:5000 | y:5000 | Type:Vehicle
0.010246988467    SN.node[316].Communication.MAC           EVENT:POS | Node:316 | x:5000 | y:5000 | Type:Vehicle
0.010270517005    SN.node[100].Communication.MAC           EVENT:POS | Node:100 | x:5000 | y:5000 | Type:Vehicle
0.010348306782    SN.node[149].Communication.MAC           EVENT:POS | Node:149 | x:5000 | y:5000 | Type:Vehicle
0.01036214393     SN.node[14].Communication.MAC            EVENT:POS | Node:14 | x:5000 | y:5000 | Type:Vehicle
0.010468667477    SN.node[240].Communication.MAC           EVENT:POS | Node:240 | x:5000 | y:5000 | Type:Vehicle
0.010644716781    SN.node[403].Communication.MAC           EVENT:POS | Node:403 | x:5000 | y:5000 | Type:Vehicle
0.010778850619    SN.node[25].Communication.MAC            EVENT:POS | Node:25 | x:5000 | y:5000 | Type:Vehicle
0.010797473439    SN.node[336].Communication.MAC           EVENT:POS | Node:336 | x:5000 | y:5000 | Type:Vehicle
0.010899288463    SN.node[224].Communication.MAC           EVENT:POS | Node:224 | x:5000 | y:5000 | Type:Vehicle
0.010919895092    SN.node[263].Communication.MAC           EVENT:POS | Node:263 | x:5000 | y:5000 | Type:Vehicle
0.011097894213    SN.node[54].Communication.MAC            EVENT:POS | Node:54 | x:5000 | y:5000 | Type:Vehicle
0.011118815978    SN.node[375].Communication.MAC           EVENT:POS | Node:375 | x:5000 | y:5000 | Type:Vehicle
0.011166148888    SN.node[430].Communication.MAC           EVENT:POS | Node:430 | x:5000 | y:5000 | Type:Vehicle
